word,score,meaning
choked,-2,"To be unable to breathe because of obstruction of the windpipe (for instance food or other objects that go down the wrong way, or fumes or particles in the air that cause the throat to constrict)."
chokes,-2,A control on a carburetor to adjust the air/fuel mixture when the engine is cold.
choking,-2,"To be unable to breathe because of obstruction of the windpipe (for instance food or other objects that go down the wrong way, or fumes or particles in the air that cause the throat to constrict)."
clarifies,2,"(of liquids, such as wine or syrup) To make clear or bright by freeing from feculent matter"
clarity,2,"The state or measure of being clear, either in appearance, thought or style; lucidity."
clash,-2,"A loud sound, like the crashing together of metal objects."
classy,3,"Elegant, highly stylish or fashionable."
clean,2,Removal of dirt.
cleaner,2,"A person whose occupation is to clean floors, windows and other things."
clear,1,"Full extent; distance between extreme limits; especially; the distance between the nearest surfaces of two bodies, or the space between walls."
cleared,1,"To remove obstructions, impediments or other unwanted items from."
clearly,1,(manner) In a clear manner.
clears,1,"To remove obstructions, impediments or other unwanted items from."
clever,2,Nimble with hands or body; skillful; adept.
clouded,-1,"To become foggy or gloomy, or obscured from sight."
clueless,-2,Lacking knowledge or understanding; uninformed.
cock,-5,"A male bird, especially:"
cocksucker,-5,(strongly vulgar) Someone who performs fellatio.
cocksuckers,-5,(strongly vulgar) Someone who performs fellatio.
cocky,-2,Overly confident; arrogant and boastful.
coerced,-2,"To restrain by force, especially by law or authority; to repress; to curb."
collapse,-2,The act of collapsing.
collapsed,-2,To break apart and fall down suddenly; to cave in.
collapses,-2,The act of collapsing.
collapsing,-2,To break apart and fall down suddenly; to cave in.
collide,-1,"To impact directly, especially if violent."
collides,-1,"To impact directly, especially if violent."
colliding,-1,"To impact directly, especially if violent."
collision,-2,An instance of colliding.
collisions,-2,An instance of colliding.
colluding,-3,To act in concert with; to conspire
combat,-1,"A battle, a fight (often one in which weapons are used)."
combats,-1,"A battle, a fight (often one in which weapons are used)."
comedy,1,"A choric song of celebration or revel, especially in Ancient Greece."
comfort,2,"Contentment, ease."
comfortable,2,A stuffed or quilted coverlet for a bed; a comforter.
comforting,2,To relieve the distress or suffering of; to provide comfort to.
comforts,2,"Contentment, ease."
commend,2,Commendation; praise.
commended,2,To congratulate or reward.
commit,1,"The act of committing (e.g. a database transaction or source code into a source control repository), making it a permanent change."
commitment,2,"The act or an instance of committing, putting in charge, keeping, or trust, especially:"
commits,1,"The act of committing (e.g. a database transaction or source code into a source control repository), making it a permanent change."
committed,1,To give in trust; to put into charge or keeping; to entrust; to consign; used with to or formerly unto.
committing,1,To give in trust; to put into charge or keeping; to entrust; to consign; used with to or formerly unto.
compassionate,2,To feel compassion (for someone or with regard to something); to regard (someone or something) with compassion.
compelled,1,"To drive together, round up"
competent,2,"Having sufficient skill, knowledge, ability, or qualifications."
competitive,2,Capable of competing successfully
complacent,-2,Uncritically satisfied with oneself or one's achievements; smug.
complain,-2,"To express feelings of pain, dissatisfaction, or resentment."
complained,-2,"To express feelings of pain, dissatisfaction, or resentment."
complains,-2,"To express feelings of pain, dissatisfaction, or resentment."
comprehensive,2,A comprehensive school.
conciliate,2,"To make calm and content, or regain the goodwill of; to placate."
conciliated,2,"To make calm and content, or regain the goodwill of; to placate."
conciliates,2,"To make calm and content, or regain the goodwill of; to placate."
conciliating,2,"To make calm and content, or regain the goodwill of; to placate."
condemn,-2,To strongly criticise or denounce; to excoriate the perpetrators of.
condemnation,-2,The act of condemning or pronouncing to be wrong
condemned,-2,To strongly criticise or denounce; to excoriate the perpetrators of.
condemns,-2,To strongly criticise or denounce; to excoriate the perpetrators of.
confidence,2,Self-assurance.
confident,2,A person in whom one can confide or share one's secrets: a friend.
conflict,-2,"A clash or disagreement, often violent, between two or more opposing groups or individuals."
conflicting,-2,To be at odds (with); to disagree or be incompatible
conflictive,-2,Tending to cause disagreement or tension.
conflicts,-2,"A clash or disagreement, often violent, between two or more opposing groups or individuals."
confuse,-2,"To puzzle, perplex, baffle, bewilder (somebody)."
confused,-2,"To puzzle, perplex, baffle, bewilder (somebody)."
confusing,-2,"To puzzle, perplex, baffle, bewilder (somebody)."
congrats,2,"Expressing praise and approval, expressing approbation."
congratulate,2,To express one’s sympathetic pleasure or joy to the person(s) it is felt for.
congratulation,2,The act of congratulating.
congratulations,2,The act of congratulating.
consent,2,Voluntary agreement or permission.
consents,2,Voluntary agreement or permission.
consolable,2,Able to be comforted and soothed.
conspiracy,-3,"The act of two or more persons, called conspirators, working secretly to obtain some goal, usually understood with negative connotations."
constrained,-2,"To force physically, by strong persuasion or pressuring; to compel; to oblige."
contagion,-2,A disease spread by contact
contagions,-2,A disease spread by contact
contagious,-1,(of a disease) Easily transmitted to others.
contempt,-2,"The state or act of contemning; the feeling or attitude of regarding someone or something as inferior, base, or worthless; scorn, disdain."
contemptuous,-2,Showing contempt; expressing disdain; showing a lack of respect.
contemptuously,-2,In a disrespectful or discourteous manner; condescendingly.
contend,-1,To strive in opposition; to contest; to dispute; to vie; to quarrel; to fight.
contender,-1,Someone who competes with one or more other people.
contending,-1,To strive in opposition; to contest; to dispute; to vie; to quarrel; to fight.
contentious,-2,Marked by heated arguments or controversy.
contestable,-2,Open to dispute or disagreement.
controversial,-2,Arousing controversy—a debate or discussion of opposing opinions.
controversially,-2,In a controversial manner.
convince,1,"To make someone believe, or feel sure about something, especially by using logic, argument or evidence."
convinced,1,"To make someone believe, or feel sure about something, especially by using logic, argument or evidence."
convinces,1,"To make someone believe, or feel sure about something, especially by using logic, argument or evidence."
convivial,2,"Having elements of a feast or of entertainment, especially when it comes to eating and drinking, with accompanying festivity"
cool,1,A moderate or refreshing state of cold; moderate temperature of the air between hot and cold; coolness.
cool stuff,3,Things that are impressive and enjoyable.
cornered,-2,To drive (someone or something) into a corner or other confined space.
corpse,-1,A dead body.
costly,-2,Of high cost; expensive.
courage,2,"The quality of being confident, not afraid or easily intimidated, but without being incautious or inconsiderate."
courageous,2,"Of a person, displaying or possessing courage."
courteous,2,"Showing regard or thought for others; especially, displaying good manners or etiquette."
courtesy,2,Polite behavior.
cover-up,-3,"An attempt to conceal or disguise something, especially a wrongdoing or a mistake."
coward,-2,A person who lacks courage.
cowardly,-2,Showing cowardice; lacking in courage; weakly fearful.
coziness,2,A pleasant feeling of comfort and warmth.
cramp,-1,A painful contraction of a muscle which cannot be controlled.
crap,-3,The husk of grain; chaff.
crash,-2,"A sudden, intense, loud sound, as made for example by cymbals."
crazier,-2,"Flawed or damaged; unsound, liable to break apart; ramshackle."
craziest,-2,"Flawed or damaged; unsound, liable to break apart; ramshackle."
crazy,-2,An insane or eccentric person; a crackpot.
creative,2,A person directly involved in a creative marketing process.
crestfallen,-2,Sad because of a recent disappointment.
cried,-2,To shed tears; to weep.
cries,-2,A shedding of tears; the act of crying.
crime,-3,A specific act committed in violation of the law.
criminal,-3,"A person who is guilty of a crime, notably breaking the law."
criminals,-3,"A person who is guilty of a crime, notably breaking the law."
crisis,-3,A crucial or decisive point or situation; a turning point.
critic,-2,A person who appraises the works of others.
criticism,-2,The act of criticising; a critical judgment passed or expressed
criticize,-2,To find fault (with something).
criticized,-2,To find fault (with something).
criticizes,-2,To find fault (with something).
criticizing,-2,To find fault (with something).
critics,-2,A person who appraises the works of others.
cruel,-3,To spoil or ruin (one's chance of success)
cruelty,-3,An indifference to suffering or pleasure in inflicting suffering.
crush,-1,A violent collision or compression; a crash; destruction; ruin.
crushed,-2,"To press between two hard objects; to squeeze so as to alter the natural shape or integrity of it, or to force together into a mass."
crushes,-1,A violent collision or compression; a crash; destruction; ruin.
crushing,-1,"To press between two hard objects; to squeeze so as to alter the natural shape or integrity of it, or to force together into a mass."
cry,-1,A shedding of tears; the act of crying.
crying,-2,To shed tears; to weep.
cunt,-5,"The female genitalia, especially the vulva."
curious,1,"Tending to ask questions, or to want to explore or investigate; inquisitive; (with a negative connotation) nosy, prying."
curse,-1,A supernatural detriment or hindrance; a bane.
cut,-1,The act of cutting.
cute,2,"Possessing physical features, behaviors, personality traits or other properties that are mainly attributed to infants and small or cuddly animals; e.g. fair, dainty, round, and soft physical features, disproportionately large eyes and head, playfulness, fragility, helplessness, curiosity or shyness, innocence, affectionate behavior."
cuts,-1,The act of cutting.
cutting,-1,"(heading) To incise, to cut into the surface of something."
cynic,-2,A person who believes that all people are motivated by selfishness.
cynical,-2,Of or relating to the belief that human actions are motivated only or primarily by base desires or selfishness.
cynicism,-2,A distrustful attitude.
damage,-3,Injury or harm; the condition or measure of something not being intact.
damages,-3,"To impair the soundness, goodness, or value of; to harm or cause destruction."
damn,-4,The use of damn as a curse.
damned,-4,To condemn to hell.
damnit,-4,An expression of strong frustration or anger. (Variant of 'damn it.')
danger,-2,Exposure to likely harm; peril.
daredevil,2,"A person who engages in very risky behavior, especially one who is motivated by a craving for excitement or attention."
daring,2,To have enough courage (to do something).
darkest,-2,Having an absolute or (more often) relative lack of light.
darkness,-1,The state of being dark; lack of light.
dauntless,2,Invulnerable to fear or intimidation.
dead,-3,"(with the, a demonstrative, or a possessive) Those who have died."
deadlock,-2,A standstill resulting from the opposition of two evenly matched forces; a stalemate or impasse
deafening,-1,"To make deaf, either temporarily or permanently."
dear,2,"A very kind, loving person."
dearly,3,In a dear or precious manner.
death,-2,"The cessation of life and all associated processes; the end of an organism's existence as an entity independent from its environment and its return to an inert, nonliving state."
debonair,2,Debonaire behaviour; graciousness.
debt,-2,"An action, state of mind, or object one has an obligation to perform for another, adopt toward another, or give to another."
deceit,-3,An act or practice intended to deceive; a trick.
deceitful,-3,Deliberately misleading or cheating.
deceive,-3,To trick or mislead.
deceived,-3,To trick or mislead.
deceives,-3,To trick or mislead.
deceiving,-3,To trick or mislead.
deception,-3,An instance of actions and/or schemes fabricated to mislead someone into believing a lie or inaccuracy.
decisive,1,Having the power or quality of deciding a question or controversy; putting an end to contest or controversy; final; conclusive.
dedicated,2,To set apart for a deity or for religious purposes; consecrate.
defeated,-2,To overcome in battle or contest.
defect,-3,A fault or malfunction.
defects,-3,A fault or malfunction.
defender,2,Someone who defends people or property
defenders,2,Someone who defends people or property
defenseless,-2,Lacking any form of defense; vulnerable; open to attack.
defer,-1,To delay or postpone
deferring,-1,To delay or postpone
defiant,-1,One who defies opposition.
deficit,-2,Deficiency in amount or quality; a falling short; lack.
degrade,-2,To lower in value or social position.
degraded,-2,To lower in value or social position.
degrades,-2,To lower in value or social position.
dehumanize,-2,"To take away humanity; to remove or deny human qualities, characteristics, or attributes; to impersonalize."
dehumanized,-2,"To take away humanity; to remove or deny human qualities, characteristics, or attributes; to impersonalize."
dehumanizes,-2,"To take away humanity; to remove or deny human qualities, characteristics, or attributes; to impersonalize."
dehumanizing,-2,"To take away humanity; to remove or deny human qualities, characteristics, or attributes; to impersonalize."
deject,-2,Make sad or dispirited.
dejected,-2,Make sad or dispirited.
dejecting,-2,Make sad or dispirited.
dejects,-2,Make sad or dispirited.
delay,-1,A period of time before an event occurs; the act of delaying; procrastination; lingering inactivity.
delayed,-1,To put off until a later time; to defer.
delight,3,Joy; pleasure.
delighted,3,To give delight to; to affect with great pleasure; to please highly.
delighting,3,To give delight to; to affect with great pleasure; to please highly.
delights,3,Joy; pleasure.
demand,-1,The desire to purchase goods and services.
demanded,-1,To request forcefully.
demanding,-1,To request forcefully.
demands,-1,The desire to purchase goods and services.
demonstration,-1,The act of demonstrating; showing or explaining something.
demoralized,-2,To destroy the morale of; to dishearten.
denied,-2,To disallow or reject.
denier,-2,An old French coin worth one-twelfth of a sou.
deniers,-2,An old French coin worth one-twelfth of a sou.
denies,-2,To disallow or reject.
denounce,-2,To make known in a formal manner; to proclaim; to announce; to declare.
denounces,-2,To make known in a formal manner; to proclaim; to announce; to declare.
deny,-2,To disallow or reject.
de...(truncated 86462 characters)...ized by success
protect,1,To keep safe; to defend; to guard; to prevent harm coming to.
protected,1,To keep safe; to defend; to guard; to prevent harm coming to.
protects,1,To keep safe; to defend; to guard; to prevent harm coming to.
protest,-2,"A formal objection, especially one by a group."
protesters,-2,"One who protests, either singly or in a public display of group feeling."
protesting,-2,To make a strong objection.
protests,-2,"A formal objection, especially one by a group."
proud,2,Feeling honoured (by something); feeling happy or satisfied about an event or fact; gratified.
proudly,2,In a proud manner.
provoke,-1,To cause someone to become annoyed or angry.
provoked,-1,To cause someone to become annoyed or angry.
provokes,-1,To cause someone to become annoyed or angry.
provoking,-1,To cause someone to become annoyed or angry.
pseudoscience,-3,Any body of knowledge that purports to be scientific or to be supported by science but which fails to comply with the scientific method.
punish,-2,"To cause to suffer for crime or misconduct, to administer disciplinary action."
punished,-2,"To cause to suffer for crime or misconduct, to administer disciplinary action."
punishes,-2,"To cause to suffer for crime or misconduct, to administer disciplinary action."
punitive,-2,"Inflicting punishment, punishing"
pushy,-1,"Aggressively ambitious; overly assertive, bold or determined."
puzzled,-2,To perplex (someone).
quaking,-2,To tremble or shake.
questionable,-2,Problematic; open to doubt or challenge.
questioned,-1,To ask questions about; to interrogate; to enquire for information.
questioning,-1,To ask questions about; to interrogate; to enquire for information.
racism,-3,"Belief that there are distinct human races with inherent differences which determine their abilities, and generally that some are superior and others inferior."
racist,-3,A person who believes in or supports racism; a person who believes that a particular race is superior to others.
racists,-3,A person who believes in or supports racism; a person who believes that a particular race is superior to others.
rage,-2,Violent uncontrolled anger.
rageful,-2,Feeling filled with strong anger.
rainy,-1,Pouring with rain; wet; showery
rant,-3,A criticism done by ranting.
ranter,-3,"One who rants; a noisy, boisterous speaker or declaimer."
ranters,-3,"One who rants; a noisy, boisterous speaker or declaimer."
rants,-3,A criticism done by ranting.
rape,-4,A violent and traumatic act.
rapist,-4,A person who commits violent sexual assault.
rapture,2,"Extreme pleasure, happiness or excitement."
raptured,2,To cause to experience great happiness or excitement.
raptures,2,"Extreme pleasure, happiness or excitement."
rapturous,4,Full of rapture.
rash,-2,Acting too quickly without considering the risks and consequences; not careful; hasty.
ratified,2,"To give formal consent to; make officially valid, sign off on."
reach,1,The act of stretching or extending; extension.
reached,1,"To extend, stretch, or thrust out (for example a limb or object held in the hand)."
reaches,1,The act of stretching or extending; extension.
reaching,1,"To extend, stretch, or thrust out (for example a limb or object held in the hand)."
reassure,1,To assure anew; to restore confidence to; to free from fear or self-doubt.
reassured,1,To assure anew; to restore confidence to; to free from fear or self-doubt.
reassures,1,To assure anew; to restore confidence to; to free from fear or self-doubt.
reassuring,2,To assure anew; to restore confidence to; to free from fear or self-doubt.
rebellion,-2,Armed resistance to an established government or ruler.
recession,-2,The act or an instance of receding or withdrawing.
reckless,-2,Careless or heedless; headstrong or rash.
recommend,2,"To bestow commendation on; to represent favourably; to suggest, endorse or encourage as an appropriate choice."
recommended,2,"To bestow commendation on; to represent favourably; to suggest, endorse or encourage as an appropriate choice."
recommends,2,"To bestow commendation on; to represent favourably; to suggest, endorse or encourage as an appropriate choice."
redeemed,2,To recover ownership of something by buying it back.
refuse,-2,"Collectively, items or material that have been discarded; rubbish, garbage."
refused,-2,To decline (a request or demand).
refusing,-2,To decline (a request or demand).
regret,-2,"Emotional pain on account of something done or experienced in the past, with a wish that it had been different; a looking back with dissatisfaction or with longing."
regretful,-2,"Full of feelings of regret, indulging in regrets."
regrets,-2,"Emotional pain on account of something done or experienced in the past, with a wish that it had been different; a looking back with dissatisfaction or with longing."
regretted,-2,"To feel sorry about (a thing that has or has not happened), afterthink: to wish that a thing had not happened, that something else had happened instead."
regretting,-2,"To feel sorry about (a thing that has or has not happened), afterthink: to wish that a thing had not happened, that something else had happened instead."
reject,-1,Something that is rejected.
rejected,-1,To refuse to accept.
rejecting,-1,To refuse to accept.
rejects,-1,Something that is rejected.
rejoice,4,"To be very happy, be delighted, exult; to feel joy."
rejoiced,4,"To be very happy, be delighted, exult; to feel joy."
rejoices,4,"To be very happy, be delighted, exult; to feel joy."
rejoicing,4,"To be very happy, be delighted, exult; to feel joy."
relaxed,2,To calm down.
relentless,-1,Unrelenting or unyielding in severity.
reliant,2,Having reliance on somebody or something.
relieve,1,"To ease (a person, person's thoughts etc.) from mental distress; to stop (someone) feeling anxious or worried, to alleviate the distress of."
relieved,2,"To ease (a person, person's thoughts etc.) from mental distress; to stop (someone) feeling anxious or worried, to alleviate the distress of."
relieves,1,"To ease (a person, person's thoughts etc.) from mental distress; to stop (someone) feeling anxious or worried, to alleviate the distress of."
relieving,2,"To ease (a person, person's thoughts etc.) from mental distress; to stop (someone) feeling anxious or worried, to alleviate the distress of."
relishing,2,"To taste or eat with pleasure, to like the flavor of"
remarkable,2,Worthy of being remarked or noted; notable
remorse,-2,A feeling of regret or sadness for doing wrong or sinning.
repulse,-1,The act of repulsing or the state of being repulsed
repulsed,-2,To repel or drive back.
rescue,2,"An act or episode of rescuing, saving."
rescued,2,"To save from any violence, danger or evil."
rescues,2,"An act or episode of rescuing, saving."
resentful,-2,"Inclined to resent, who tends to harbor resentment, when wronged."
resign,-1,To give up; to relinquish ownership of.
resigned,-1,To sign again; to provide one's signature again.
resigning,-1,To sign again; to provide one's signature again.
resigns,-1,To sign again; to provide one's signature again.
resolute,2,A determined person; one showing resolution.
resolve,2,Determination; will power.
resolved,2,To find a solution to (a problem).
resolves,2,Determination; will power.
resolving,2,To find a solution to (a problem).
respected,2,To have respect for.
responsible,2,The individual who bears the responsibility for something.
responsive,2,"Answering, replying or responding"
restful,2,Using REST (representational state transfer).
restless,-2,Not allowing or affording rest.
restore,1,The act of recovering data or a system from a backup.
restored,1,"To reestablish, or bring back into existence."
restores,1,"To reestablish, or bring back into existence."
restoring,1,"To reestablish, or bring back into existence."
restrict,-2,To restrain within boundaries; to limit; to confine
restricted,-2,To restrain within boundaries; to limit; to confine
restricting,-2,To restrain within boundaries; to limit; to confine
restriction,-2,"The act of restricting, or the state of being restricted."
restricts,-2,To restrain within boundaries; to limit; to confine
retained,-1,To keep in possession or use.
retard,-2,Retardation; delay.
retarded,-2,To keep delaying; to continue to hinder; to prevent from progress
retreat,-1,"The act of pulling back or withdrawing, as from something dangerous, or unpleasant."
revenge,-2,"Any form of personal retaliatory action against an individual, institution, or group for some alleged or perceived harm or injustice."
revengeful,-2,"Vengeful, vindictive."
revered,2,To regard someone or something with great awe or devotion.
revive,2,To return to life; to become reanimated or reinvigorated.
revives,2,To return to life; to become reanimated or reinvigorated.
reward,2,Something of value given in return for an act.
rewarded,2,To give a reward to or for.
rewarding,2,To give a reward to or for.
rewards,2,Something of value given in return for an act.
rich,2,To enrich.
ridiculous,-3,Deserving of ridicule; foolish; absurd.
rig,-1,The rigging of a sailing ship or other such craft.
rigged,-1,To fit out with a harness or other equipment.
right direction,3,Showing positive improvement or progress.
rigorous,3,"Showing, causing, or favoring rigour; scrupulously accurate or strict; thorough."
rigorously,3,In a rigorous manner.
riot,-2,Wanton or unrestrained behavior; uproar; tumult.
riots,-2,Wanton or unrestrained behavior; uproar; tumult.
risk,-2,A possible adverse event or outcome
risks,-2,A possible adverse event or outcome
rob,-2,"To steal from, especially using force or violence."
robber,-2,A person who robs.
robed,-2,To clothe; to dress.
robing,-2,To clothe; to dress.
robs,-2,"To steal from, especially using force or violence."
robust,2,Evincing strength and health; strong.
rofl,4,Laughing very hard or uncontrollably. (Acronym for 'Rolling On the Floor Laughing.')
roflcopter,4,Laughing playfully and excessively. (Internet slang combining 'ROFL' and 'helicopter.')
roflmao,4,Experiencing uncontrollable laughter. (Acronym for 'Rolling On the Floor Laughing My Ass Off.')
romance,2,"A story relating to chivalry; a story involving knights, heroes, adventures, quests, etc."
rotfl,4,Finding something extremely funny or hilarious. (Alternate form of 'ROFL.')
rotflmfao,4,Laughing so hard it brings tears. (Acronym for 'Rolling On the Floor Laughing My Fucking Ass Off.')
rotflol,4,Rolling with laughter and joy. (Combination of 'ROFL' and 'LOL.')
ruin,-2,"(sometimes in the plural) The remains of a destroyed or dilapidated construction, such as a house or castle."
ruined,-2,To cause the fiscal ruin of.
ruining,-2,To cause the fiscal ruin of.
ruins,-2,"(sometimes in the plural) The remains of a destroyed or dilapidated construction, such as a house or castle."
sabotage,-2,"A deliberate action aimed at weakening an enemy through subversion, obstruction, disruption, and/or destruction."
sad,-2,To make melancholy; to sadden or grieve (someone).
sadden,-2,To make sad or unhappy.
saddened,-2,To make sad or unhappy.
sadly,-2,In a sad manner; sorrowfully.
safe,1,"A box, usually made of metal, in which valuables can be locked for safekeeping."
safely,1,In a safe manner; without risk; using caution above all else.
safety,1,The condition or feeling of being safe; security; certainty.
salient,1,"An outwardly projecting part of a fortification, trench system, or line of defense."
sappy,-1,"Excessively sweet, emotional, nostalgic; cheesy; mushy. (British equivalent: soppy)"
sarcastic,-2,Containing sarcasm.
satisfied,2,To do enough for; to meet the needs of; to fulfill the wishes or requirements of.
save,2,"In various sports, a block that prevents an opponent from scoring."
saved,2,To prevent harm or difficulty.
scam,-2,A fraudulent deal.
scams,-2,A fraudulent deal.
scandal,-3,An incident or event that disgraces or damages the reputation of the persons or organization involved.
scandalous,-3,"Wrong, immoral, causing a scandal"
scandals,-3,An incident or event that disgraces or damages the reputation of the persons or organization involved.
scapegoat,-2,"In the Mosaic Day of Atonement ritual, a goat symbolically imbued with the sins of the people, and sent out alive into the wilderness while another was sacrificed."
scapegoats,-2,"In the Mosaic Day of Atonement ritual, a goat symbolically imbued with the sins of the people, and sent out alive into the wilderness while another was sacrificed."
scare,-2,A minor fright.
scared,-2,"To frighten, terrify, startle, especially in a minor way."
scary,-2,Causing or able to cause fright.
sceptical,-2,"Having, or expressing doubt; questioning."
scold,-2,To burn with hot liquid.
scoop,3,"Any cup- or bowl-shaped tool, usually with a handle, used to lift and move loose or soft solid material."
scorn,-2,Contempt or disdain.
scornful,-2,Showing scorn or disrespect; contemptuous.
scream,-2,"A loud, emphatic, exclamation of extreme emotion, especially horror, fear, excitement, or anger; it may comprise a word or a sustained, high-pitched vowel sound."
screamed,-2,"To cry out with a shrill voice; to utter a sudden, sharp outcry, or shrill, loud cry, as in fright or extreme pain; to shriek; to screech."
screaming,-2,"To cry out with a shrill voice; to utter a sudden, sharp outcry, or shrill, loud cry, as in fright or extreme pain; to shriek; to screech."
screams,-2,"A loud, emphatic, exclamation of extreme emotion, especially horror, fear, excitement, or anger; it may comprise a word or a sustained, high-pitched vowel sound."
screwed,-2,To connect or assemble pieces using a screw.
screwed up,-3,Being seriously mistaken or ruined.
scumbag,-4,Condom
secure,2,"To make safe; to relieve from apprehensions of, or exposure to, danger; to guard; to protect."
secured,2,"To make safe; to relieve from apprehensions of, or exposure to, danger; to guard; to protect."
secures,2,"To make safe; to relieve from apprehensions of, or exposure to, danger; to guard; to protect."
sedition,-2,"Organized incitement of rebellion or civil disorder against authority or the state, usually by speech or writing."
seditious,-2,"Of, related to, or being involved in sedition."
seduced,-1,"To beguile or lure (someone) away from duty, accepted principles, or proper conduct; to lead astray."
self-confident,2,Confident in one's own abilities.
self-deluded,-2,Believing false positive things about oneself.
selfish,-3,Holding one's own self-interest as the standard for decision making.
selfishness,-3,The quality of being selfish; the condition of putting one's own interests before those of others.
sentence,-2,The decision or judgement of a jury or court; a verdict.
sentenced,-2,To declare a sentence on a convicted person; to doom; to condemn to punishment.
sentences,-2,The decision or judgement of a jury or court; a verdict.
sentencing,-2,To declare a sentence on a convicted person; to doom; to condemn to punishment.
serene,2,Serenity; clearness; calmness.
severe,-2,Very bad or intense.
sexy,3,(of a person) Having sex appeal; suggestive of sex.
shaky,-2,Shaking or trembling.
shame,-2,Uncomfortable or painful feeling due to recognition or consciousness of one's own impropriety or dishonor or something being exposed that should have been kept private.
shamed,-2,To cause to feel shame.
shameful,-2,Causing or meriting shame or disgrace; disgraceful
share,1,"A portion of something, especially a portion given or allotted to someone."
shared,1,To give part of what one has to somebody else to use or consume.
shares,1,"A portion of something, especially a portion given or allotted to someone."
shattered,-2,To violently break something into pieces.
shit,-4,Solid excretory product evacuated from the bowels; feces.
shithead,-4,A stupid or contemptible person.
shitty,-3,Very bad; unpleasant; miserable; insignificant.
shock,-2,"A sudden, heavy impact."
